year,cap_net,top1_wage
1929,23.278450136035275,8.671
1930,22.25422298428688,8.541
1931,19.516617319272097,8.468
1932,17.526942711287578,8.29
1933,15.340771868811284,8.308
1934,17.042936702796574,8.307
1935,17.100333055786844,8.401
1936,17.750436674531915,8.597
1937,16.884146091518986,8.407
1938,16.588729373920295,8.127
1939,17.411523715934727,8.197
1940,18.13749574813863,8.369
1941,16.095866127774233,8.111
1942,14.030862339146076,7.212
1943,12.436862019048563,6.424
1944,12.137545512223284,5.564
1945,10.90353626671352,5.726
1946,10.133780214161956,6.398
1947,11.583091367653603,6.274
1948,13.4213717192019,6.209
1949,13.971888940163051,6.119
1950,13.150467298014538,6.235
1951,12.111202226816507,5.97
1952,12.398853160805084,5.742
1953,12.316081866362197,NA
1954,13.287912087912089,5.61
1955,14.464972433448246,NA
1956,13.735117221062968,5.556
1957,13.554191705140983,NA
1958,13.33162693792849,5.395
1959,14.36371785990791,NA
1960,14.147782145957915,5.261
1961,14.41306843848818,5.197
1962,15.395665548159483,5.156
1963,15.839128582125674,NA
1964,16.338199302884014,5.12
1965,17.019823733994713,NA
1966,16.740509385967737,5.156
1967,16.180717010797586,5.335
1968,15.363056147812369,5.241
1969,14.618842068848007,5.188
1970,13.894388060874606,5.133
1971,14.63803022237623,5.182
1972,14.930069822094168,5.323
1973,14.717583229943054,5.422
1974,14.131781674290714,5.664
1975,15.439393169827373,5.64
1976,15.411638809036086,5.735
1977,15.700787036858337,5.856
1978,15.921873077487904,6.056
1979,15.42243602211716,6.217
1980,15.503934389474884,6.425
1981,17.55522412765399,6.425
1982,18.22301273379457,6.672
1983,18.800968371360668,6.955
1984,19.817941757764128,7.268
1985,19.725772962269502,7.276
1986,18.1573984312004,7.326
1987,17.494337417555432,8.153
1988,17.61188606993928,9.385
1989,17.729029209368264,8.694
1990,17.05411272753633,8.993
1991,16.821015805284798,8.561
1992,16.035733266349443,9.626
1993,16.146855117760882,9.054
1994,17.19359030685924,8.72
1995,17.708166957029007,9.272
1996,18.154543037248303,9.827
1997,18.596714134697702,10.461
1998,17.96458053410497,11.005
1999,17.359368928865642,11.67
2000,16.646131521800555,12.26
2001,16.681658734499866,10.876
2002,17.15600938067644,10.318
2003,17.371728967893958,10.215
2004,17.491186734396823,11.045
2005,18.34799858441749,11.434
2006,18.88896010452556,11.725
2007,18.09784563569446,12.2
2008,17.793719115113138,11.376
2009,19.074673740116175,10.243
2010,20.18578853313004,10.915
2011,20.10189628964634,11.026
2012,20.572183426403885,NA
2013,20.06127494219456,NA
2014,20.385459003973754,NA
2015,20.195969661749057,NA
2016,19.800312066387605,NA
2017,19.830958344657873,NA
2018,20.07744326167183,NA
2019,19.960093969765,NA
2020,19.973462359153245,NA
2021,21.311654809087415,NA
2022,21.203439264295007,NA
2023,21.46543521329292,NA
2024,21.368614913773634,NA
2025,21.4061075447272,NA
